"recruit_date","ps_proj_eligible","source","screened","zip_id","city_id","state_id"
2021-07-25,"ineligible","instagram","no",58938,"اصفهان","California"
2021-09-07,"ineligible","google","no",9294,"Hawassa","Hawaii"
2021-10-04,"ineligible","front_porch_forum","no",5752,"Middlebury","Vermont"
2021-10-28,"ineligible","facebook","no",5437,"East Berkshire ","Virginia"
2021-11-10,"ineligible","facebook","no",5453,"Essex Junction","Vermont"
2021-11-30,"Project 2","facebook","no",5066,"Sharon","Vermont"
2020-10-27,"ineligible","pt_in_other_studies","no",5406,"Groton","Vermont"
2020-12-08,"Project 1","facebook","no",5030,"Ascutney ","Vermont"
2021-03-10,"Project 3","facebook","no",5702,"Rutland","Vermont"
2020-11-08,"ineligible","facebook","no",5088,"Wilder","Vermont"
2021-03-20,"ineligible","facebook","no",5351,"South Newfane ","Vermont"
2021-05-24,"ineligible","facebook","no",5088,"Wilder","Vermont"
2021-06-06,"Project 3","facebook","yes",5642,"Barre","Vermont"
2020-10-22,"Project 1 and Project 3","multiple","no",5460,"Highgate Springs","Vermont"
